"category","sound1","response"
"ThroatClearing","02",6.5
"Thunder","02",5.75
"TrainBrakes","02",4.65
"TrainSignal","02",4.4
"TrainWagons","02",6.2
"Waterfall","02",4.25
"Wind","02",7.95
"BirdsFlyingOff","03",2.7
"BirdSong","03",4.95
"BirdSquawk","03",3.2
"CarHorn","03",4.15
"CarSkidding","03",5.4
"CarStarting","03",6.65
"CatHissing","03",5.3
"CatMeowing","03",7.05
"CatPurring","03",5.9
"ChildrenPlaying","03",7.8
"CocktailParty","03",5.55
"CoughingAdultFemale","03",6.1
"CoughingAdultMale","03",4.15
"CowMoo","03",3.95
"CrowdApplause","03",5.65
"CrowdCheering","03",4.4
"CryingAdultFemale","03",4.9
"CryingAdultMale","03",7.3
"CryingChild","03",6.45
"DogBarking","03",1.95
"DogGrowling","03",7.05
"DogHowling","03",3.5
"Drilling","03",6.1
"DrillingPneumatic","03",4.75
"Fire","03",3.55
"Footsteps","03",4.55
"Hammer","03",6
"Helicopter","03",6.5
"HorseGalloping","03",4.25
"HorseNeighing","03",8.25
"HorseSnorting","03",4.5
"InsectsBuzzing","03",4.4
"InsectsStridulation","03",3
"JetPassing","03",6
"LaughingAdultFemale","03",6.4
"LaughingAdultMale","03",4.9
"LaughingChild","03",7.85
"LaughingGroup","03",7.1
"Propeller","03",6.95
"Rain","03",5.7
"River","03",8.05
"Sawing","03",5.4
"SawingManual","03",7.05
"SeaWaves","03",3.85
"Sneezing","03",5.75
"Snoring","03",6.5
"ThroatClearing","03",8.2
"Thunder","03",5.05
"TrainBrakes","03",4.3
"TrainSignal","03",1.85
"TrainWagons","03",7.5
"Waterfall","03",4.4
"Wind","03",3.2
"BirdsFlyingOff","04",6
"BirdSong","04",6.4
"BirdSquawk","04",4.35
"CarHorn","04",4.65
"CarSkidding","04",4.55
"CarStarting","04",5.3
"CatHissing","04",6.3
"CatMeowing","04",1.95
"CatPurring","04",6.7
"ChildrenPlaying","04",5.95
"CocktailParty","04",8.05
"CoughingAdultFemale","04",6.3
"CoughingAdultMale","04",5.75
"CowMoo","04",6.05
"CrowdApplause","04",3.55
"CrowdCheering","04",6.2
"CryingAdultFemale","04",4.2
"CryingAdultMale","04",3.6
"CryingChild","04",6.2
"DogBarking","04",8.25
"DogGrowling","04",3.9
"DogHowling","04",4.85
"Drilling","04",6.6
"DrillingPneumatic","04",4.25
"Fire","04",7.1
"Footsteps","04",4.35
"Hammer","04",7.05
"Helicopter","04",2.25
"HorseGalloping","04",7.45
"HorseNeighing","04",6.2
"HorseSnorting","04",4.9
"InsectsBuzzing","04",5.5
"InsectsStridulation","04",7.55
"JetPassing","04",7.35
"LaughingAdultFemale","04",7.05
"LaughingAdultMale","04",5.45
"LaughingChild","04",6.25
"LaughingGroup","04",6.85
"Propeller","04",6.05
"Rain","04",5.55
"River","04",7.35
"Sawing","04",6.65
"SawingManual","04",4.8
"SeaWaves","04",5.25
"Sneezing","04",5.15
"Snoring","04",6.75
"ThroatClearing","04",6.5
"Thunder","04",5.55
"TrainBrakes","04",5.75
"TrainSignal","04",9.25
"TrainWagons","04",6.6
"Waterfall","04",4.25
"Wind","04",5.1
"BirdsFlyingOff","05",5.6
"BirdSong","05",6.55
"BirdSquawk","05",5.6
"CarHorn","05",6.2
"CarSkidding","05",2.5
"CarStarting","05",4.5
"CatHissing","05",5
"CatMeowing","05",7.3
"CatPurring","05",6.05
"ChildrenPlaying","05",7.5
"CocktailParty","05",7.25
"CoughingAdultFemale","05",7.05
"CoughingAdultMale","05",4.35
"CowMoo","05",5.05
"CrowdApplause","05",7.7
"CrowdCheering","05",4.7
"CryingAdultFemale","05",5.9
"CryingAdultMale","05",3.55
"CryingChild","05",4.55
"DogBarking","05",5.15
"DogGrowling","05",7.7
"DogHowling","05",5.95
"Drilling","05",5.05
"DrillingPneumatic","05",3.8
"Fire","05",5.9
"Footsteps","05",8.7
"Hammer","05",4.65
"Helicopter","05",5.7
"HorseGalloping","05",1.15
"HorseNeighing","05",5.2
"HorseSnorting","05",5.35
"InsectsBuzzing","05",3.9
"InsectsStridulation","05",6.4
"JetPassing","05",7.3
"LaughingAdultFemale","05",5.85
"LaughingAdultMale","05",4.85
"LaughingChild","05",7.3
"LaughingGroup","05",5.45
"Propeller","05",6.3
"Rain","05",5.95
"River","05",5.25
"Sawing","05",6.5
"SawingManual","05",5.4
"SeaWaves","05",5.4
"Sneezing","05",4.2
"Snoring","05",6.65
"ThroatClearing","05",6.85
"Thunder","05",6.65
"TrainBrakes","05",4.15
"TrainSignal","05",6.7
"TrainWagons","05",4.6
"Waterfall","05",7.5
"Wind","05",7.1
"BirdsFlyingOff","06",5.75
"BirdSong","06",6.5
"BirdSquawk","06",4.35
"CarHorn","06",6.1
"CarSkidding","06",8.7
"CarStarting","06",7.35
"CatHissing","06",1.95
"CatMeowing","06",8.05
"CatPurring","06",5.15
"ChildrenPlaying","06",3.35
"CocktailParty","06",6
"CoughingAdultFemale","06",5.2
"CoughingAdultMale","06",6.7
"CowMoo","06",5.6
"CrowdApplause","06",6.65
"CrowdCheering","06",8.65
"CryingAdultFemale","06",7.55
"CryingAdultMale","06",2.55
"CryingChild","06",6.85
"DogBarking","06",8.65
"DogGrowling","06",2.2
